method_name,cluster_label
startContentModel,0
setElementDecl,1
textDecl,2
comment,2
processingInstruction,2
startAttlist,2
endAttlist,2
startConditional,2
ignoredCharacters,2
endConditional,2
any,2
empty,2
endContentModel,2
isNamespaceAware,2
getEntityDeclIndex,2
getNotationDeclIndex,2
putElementNameMapping,2
resize,2
createAttributeDecl,3
getEntityDecl,4
setEntityDecl,4
elementDecl,5
getAttributeDeclIsExternal,6
internalEntityDecl,7
externalEntityDecl,7
unparsedEntityDecl,7
attributeDecl,8
separator,9
ensureNotationDeclCapacity,10
getContentSpec,11
createContentSpec,11
setContentSpec,11
element,12
getContentSpecIndex,13
setContentSpecIndex,13
createChildModel,14
buildSyntaxTree,14
getNotationDecl,15
setNotationDecl,15
ensureAttributeDeclCapacity,16
startParameterEntity,17
endParameterEntity,17
setAttributeDecl,18
getElementContentModelValidator,19
ensureElementDeclCapacity,20
addContentSpecNode,21
addUniqueLeafNode,21
ensureContentSpecCapacity,22
getAttributeDecl,23
printAttributes,24
notationDecl,25
initializeContentModelStack,26
addContentSpecToElement,27
endDTD,28
getElementDeclName,28
ensureEntityDeclCapacity,29
getAttributeDeclIndex,30
isEntityUnparsed,31
createEntityDecl,32
createNotationDecl,33
isCDATAAttribute,34
getFirstAttributeDeclIndex,35
setFirstAttributeDeclIndex,35
startGroup,36
createElementDecl,37
getNextAttributeDeclIndex,38
occurrence,39
getContentSpecType,40
getContentSpecAsString,41
getElementDecl,42
appendContentSpec,43
setDTDSource,44
getDTDSource,44
setDTDContentModelSource,45
getDTDContentModelSource,45
getFirstElementDeclIndex,46
getNextElementDeclIndex,46
contentSpecTree,47
startExternalSubset,48
endExternalSubset,48
printAttribute,49
endGroup,50
getElementDeclIsExternal,51
getGrammarDescription,52
printElements,53
isImmutable,54
isEntityDeclared,55
startDTD,56
pcdata,57
getElementDeclIndex,58
getSymbolTable,59
