method_name,cluster_label
getGrammarDescription,14
getElementDeclIsExternal,14
getAttributeDeclIsExternal,14
getAttributeDeclIndex,14
startDTD,14
startParameterEntity,10
startExternalSubset,11
endParameterEntity,10
endExternalSubset,11
elementDecl,14
attributeDecl,14
internalEntityDecl,14
externalEntityDecl,14
unparsedEntityDecl,14
notationDecl,14
endDTD,14
setDTDSource,14
getDTDSource,14
textDecl,14
comment,14
processingInstruction,14
startAttlist,14
endAttlist,14
startConditional,14
ignoredCharacters,14
endConditional,14
setDTDContentModelSource,9
getDTDContentModelSource,9
startContentModel,9
startGroup,14
pcdata,14
element,14
separator,14
occurrence,14
endGroup,14
any,14
empty,14
endContentModel,9
isNamespaceAware,14
getSymbolTable,14
getFirstElementDeclIndex,14
getNextElementDeclIndex,14
getElementDeclIndex,14
getContentSpecType,9
getElementDecl,14
getElementDeclName,14
getFirstAttributeDeclIndex,14
getNextAttributeDeclIndex,14
getAttributeDecl,14
isCDATAAttribute,14
getEntityDeclIndex,14
getEntityDecl,14
getNotationDeclIndex,14
getNotationDecl,14
getContentSpec,9
getContentSpecIndex,9
getContentSpecAsString,9
printElements,14
printAttributes,14
addContentSpecToElement,9
getElementContentModelValidator,9
createElementDecl,0
setElementDecl,14
putElementNameMapping,14
setFirstAttributeDeclIndex,14
setContentSpecIndex,9
createAttributeDecl,0
setAttributeDecl,14
createContentSpec,0
setContentSpec,9
createEntityDecl,0
setEntityDecl,14
createNotationDecl,0
setNotationDecl,14
addContentSpecNode,9
addUniqueLeafNode,14
initializeContentModelStack,9
isImmutable,14
appendContentSpec,9
printAttribute,14
createChildModel,0
buildSyntaxTree,14
contentSpecTree,9
ensureElementDeclCapacity,14
ensureAttributeDeclCapacity,14
ensureEntityDeclCapacity,14
ensureNotationDeclCapacity,14
ensureContentSpecCapacity,9
resize,14
isEntityDeclared,14
isEntityUnparsed,14
